Gene.name,log2FoldChange,padj
Tmem138,-0.373483084,0.018430403
Rbbp8,-0.190527627,0.018438226
AABR07027015.1,0.429084894,0.018601089
Mrps21,0.19385435,0.018614133
Ddx18,0.246110949,0.018619643
Ddx39a,-0.188267594,0.018628814
Bri3,-0.182838414,0.01870347
Mcf2,0.448338959,0.01871717
Dhrsx,0.231147311,0.018741232
Man2a2,-0.159198582,0.018766241
Tmem9,-0.174815154,0.018796514
Scamp2,-0.347162282,0.018824096
Lgals8,-0.21864221,0.018852081
Tfb1m,-0.394612453,0.018887878
Pim2,0.17691342,0.018898483
Adamts19,0.608296262,0.018922412
Ipcef1,-0.478057103,0.018940451
Mfap2,-0.356620826,0.018958865
Psmb5,-0.117428684,0.019018457
Tspan13,0.181196989,0.019025688
Mir124-2,0.504270654,0.019029351
Mphosph8,0.48305798,0.019073916
Ahsa2,-0.242547817,0.019075761
Tnik,-0.093677606,0.019081704
Pcgf1,0.288553655,0.019098465
Cep41,-0.38893081,0.019158327
Srp68,0.148963267,0.01915992
Mak,0.673487414,0.019249512
Uqcrb,0.179817055,0.019252008
AABR07035218.1,0.367091081,0.019279611
AC141489.1,0.559988456,0.019338014
Cog4,-0.174349091,0.019338562
Pcsk4,-0.487195129,0.01937696
Cyp11a1,-0.430648668,0.019380622
Atp5pb,0.142122762,0.019390372
Snrpd1,0.215843149,0.019398779
Adcy7,-0.366618205,0.0194003
Fiz1,0.18720141,0.019439065
AABR07029581.1,0.259164121,0.019439763
Plk5,0.407660283,0.019450605
LOC102547817,-0.680341792,0.019503862
Caln1,-0.152575426,0.019510056
Scn9a,0.275816701,0.019514796
LOC100910790,0.562324493,0.019521804
Pum3,-0.144737304,0.019541508
Ptger1,-0.294436153,0.019542474
LOC102549061,0.347908429,0.01957413
Erc1,-0.119652955,0.01957453
Higd1a,-0.172634853,0.019576046
Ints13,0.29992298,0.019576628
Pkm,0.171913985,0.019591733
Trap1,-0.154294061,0.019601668
Parp8,-0.215147397,0.019606883
Nup37,-0.494814412,0.019622537
LOC100909441,0.257068789,0.019633554
Lman2l,0.194962359,0.019684738
Panx2,-0.171591722,0.019687686
Derl1,-0.158387544,0.019702661
Colgalt2,0.442577625,0.019792971
LOC363337,0.860302616,0.019930684
Cst6,0.22041916,0.019967496
Zbtb40,-0.354516255,0.019975394
Celf2,-0.161841492,0.019981178
Ube2e1,0.152039587,0.019993794
Rbak,0.2087636,0.020021362
Commd9,-0.189140327,0.020055673
Accs,-0.667197816,0.02009977
H1f2,0.54370337,0.020108733
Tbcb,-0.165997004,0.02014291
Rb1cc1,-0.197288555,0.02016547
Ptpn5,0.23856466,0.02016547
Rpl18,0.15098316,0.020172589
RGD1562402,0.270472011,0.020208227
Rspry1,-0.188675831,0.020226638
Eif1ax,0.214418618,0.020231249
Fbxl5,-0.182176026,0.020232666
Polr3gl,-0.453710557,0.020286325
Mia2,0.296160056,0.020286902
Med28,0.210327852,0.020293762
Pcgf6,0.372414661,0.020296976
Cstf2,0.232457275,0.020301625
Zfp639,-0.26913494,0.020330354
Smox,0.255353859,0.020418049
Cd82,0.354227432,0.020454399
Hist1h2ao,-0.195332817,0.020462665
Magt1,0.53254504,0.020484964
Phf2,-0.1571861,0.020505318
AABR07037009.1,-0.36301553,0.020520897
Fam89b,0.145882548,0.020562149
Pdp1,0.196930871,0.020584696
Slc25a17,-0.187749374,0.020625036
Zfp618,-0.352952902,0.020648853
Ndp,-0.859199582,0.020751378
H2az2,-0.333456578,0.020800513
Glt8d1,-0.314166781,0.020804691
Atrnl1,0.191599154,0.020840904
Adgrl1,0.123727276,0.02084565
Sec22a,-0.339316282,0.02085847
LOC103690013,0.177436904,0.020892871
RGD1564053,0.188295542,0.020900376
Cmtr2,0.294785079,0.020989994
Ttl,0.136022521,0.020992512
LOC100363537,0.360194977,0.02099984
Ecd,-0.240092434,0.021028035
AABR07035098.1,-0.552568667,0.021117316
Hddc3,-0.335796524,0.021135452
AABR07004511.1,0.719935451,0.021157128
Dcaf10,-0.194892398,0.021197888
Kctd10,-0.12010801,0.021236851
Sntg1,0.468957094,0.021301735
LOC103693780,-0.183737127,0.021329211
Galc,0.389252855,0.021447202
Nat14,-0.205516391,0.02146797
Nipsnap1,-0.116167674,0.021485801
Zfp709,0.319777009,0.021517927
Ndufa10l1,0.121520803,0.021595746
Trrap,0.118020322,0.021595746
Irak2,-0.549855386,0.021605109
Acp6,-0.346242748,0.021651525
Kcnk9,0.137260493,0.021656032
Tecpr1,-0.130988517,0.021658338
Tuba1c,0.251810869,0.021721032
Hsd17b13,-0.666284186,0.021726662
Crlf1,0.293217053,0.021731197
Tmem101,-0.245072124,0.02176937
RGD1560065,-0.194548283,0.02176937
Prdx3,-0.205199085,0.021789139
Smarcd3,-0.205465995,0.021826388
Hpf1,0.196886115,0.021832079
Coprs,-0.251725758,0.021944546
Col4a4,0.812832265,0.021944546
Dtd2,-0.419592264,0.02196369
AABR07008715.1,0.490308707,0.021986928
Alas1,-0.231822454,0.021995928
Pan2,-0.276335172,0.02202381
Dcaf7,-0.131933629,0.022033282
Tmeff1,0.14637768,0.022047018
Crtac1,-0.423163705,0.022079078
Vps41,-0.19042632,0.022124593
Zc2hc1c,-0.704936363,0.02222027
AABR07017250.1,0.267159147,0.022242698
Usp7,0.136438717,0.022383018
Grk4,0.55978386,0.02239771
Prpf4,-0.188278613,0.022425693
Kbtbd2,0.143621257,0.0224639
Nudt11,-0.252078841,0.022466385
Clip1,-0.104047391,0.022518491
Sco1,0.290361654,0.022526605
Erc2,0.201237355,0.022576339
Slc25a52,-0.573943217,0.022598065
Mboat2,-0.189568013,0.022626452
AABR07026483.1,0.374848319,0.022712483
Cers5,0.151277979,0.022714889
Map2k2,0.129413358,0.02288253
Mrpl4,-0.153444378,0.022961282
Rgs14,0.363559761,0.022961282
Dcdc2,0.623904487,0.023074076
B3gat3,0.113727758,0.023116243
AC095267.2,0.546177885,0.023151053
Upf3b,-0.33698657,0.023171442
Islr2,-0.259912671,0.023207121
AABR07068341.1,-0.212867074,0.023207121
Yap1,0.824508999,0.023233728
Zbtb2,-0.246075513,0.023234694
Tle4,-0.302973317,0.023320749
Stx5,-0.174969931,0.023344674
Ccdc17,-0.706768922,0.023344674
AABR07006536.3,0.473265638,0.023399128
Rad18,-0.316899245,0.02342543
Rsbn1,0.177177356,0.023451717
LOC100911917,-0.280064814,0.023614161
Prdx1,0.191819606,0.023663066
Nek10,0.388897159,0.023675695
Cdkl1,-0.347775008,0.023698102
Lgr4,0.205554173,0.023773624
Arap1,0.337186972,0.023778273
Lmo2,0.506605139,0.023794765
Snx16,-0.24650443,0.023836397
AABR07044362.1,-0.441218603,0.023864536
Lvrn,0.599170509,0.023870437
AABR07021547.1,0.176395979,0.023870437
Sarnp,0.289260419,0.023901413
Iqcc,0.508082712,0.023939113
Pcdhga7,0.193237286,0.023951474
Noc3l,0.269434118,0.023988718
AABR07032135.1,0.373896269,0.024059253
Tipinl1,-0.69011484,0.024104688
Mrps9,-0.216984943,0.024114061
Pfn3,0.611792931,0.024140775
Chmp4bl1,0.225097154,0.024175714
LOC103690005,-0.161302029,0.024321833
LOC317456,-0.446947921,0.024342222
Pak2,-0.188008365,0.024356324
Phf5a,0.205458947,0.024374506
Zik1,0.205539311,0.024398224
RGD1304567,-0.286627291,0.024462444
Fam193b,-0.23774439,0.024493879
Fads2,0.169270233,0.024563325
Exoc4,-0.135248982,0.024620829
Pbx3,-0.535327856,0.024668849
Mospd1,-0.454283551,0.024697277
Slc18a3,-0.66604171,0.024735759
Tarbp2,-0.203308651,0.024743431
Dzank1,-0.181194385,0.024783039
Zfp330,-0.180407895,0.024842086
Pom121,0.170234611,0.024882375
Sema6d,0.158627756,0.024882793
Mib1,0.15873055,0.024887126
Otud7b,-0.382797509,0.024931975
Mrps26,0.175003462,0.02495856
Dhps,0.146928705,0.024972428
Wars2,-0.382128253,0.024978932
Ndrg2,-0.418199757,0.02498754
Lhfpl6,-0.195417497,0.02499697
Mpnd,-0.22940109,0.025017248
Cfp,0.630259947,0.025118788
AC098459.1,0.524552606,0.025122171
Afap1l2,-0.693643956,0.025147452
Mtcp1,0.53871151,0.025160864
Akap5,-0.581776189,0.025184452
Slc25a10,-0.188979951,0.025197733
Dnah5,0.676601297,0.02526123
Whrn,0.178518175,0.025315998
Poglut1,-0.242539677,0.025366343
Mtfr1l,-0.157155501,0.025366343
Rarb,-0.671455724,0.025391376
Ccdc14,-0.784944159,0.025437486
Ccdc74a,-0.710496298,0.025501992
RGD1305178,-0.155488739,0.025556887
Srd5a1,-0.251920193,0.025583772
Atp5f1a,0.097250112,0.025587863
Gda,-0.218521044,0.025619074
AABR07014804.1,-0.565441903,0.025706044
AABR07050545.1,0.380981095,0.025726208
Slc6a6,0.200090984,0.025784811
Prr14l,-0.117520459,0.025800629
Zfp580,-0.261156172,0.025856649
LOC108348052,-0.218202566,0.025904577
Pi16,-0.322538339,0.025904577
Spsb1,0.306312659,0.025947354
Nexmif,0.257322652,0.025949053
Gmppb,-0.376638958,0.025963086
Aar2,-0.135621338,0.025963086
Enpp4,-0.306081305,0.025963086
Tceal6,-0.215321061,0.025967981
Arid3b,0.382529612,0.02603585
Ncf1,0.526755714,0.026073262
Hist1h4m,0.340737353,0.026129891
Inpp5j,0.180801292,0.026188203
Mcph1,-0.228813924,0.026307268
Flvcr2,-0.550071408,0.026309841
Ss18l1,-0.149664625,0.026334496
H3f3c,0.352089952,0.026346356
Trim16,0.262551683,0.026360521
Slitrk5,-0.174392599,0.026371122
Atp9a,0.12890042,0.026433225
Slc35f6,-0.219253138,0.026468056
Bcl9l,0.135368493,0.026468056
Sp2,0.249334419,0.026474259
Fpgt,-0.336418825,0.026480622
Eloc,0.248574452,0.026480622
Ppp1r9a,-0.156429734,0.026480784
Rgmb,0.145838378,0.026486289
Numa1,-0.174758925,0.026552584
Fars2,-0.254128213,0.026577595
AABR07017849.1,-0.890156294,0.026600266
RGD1311517,-0.209219578,0.026730911
Swi5,0.140721073,0.026815647
Mmel1,-0.573486536,0.02681806
Prkar1b,0.114721485,0.026955473
Lhfpl5,-0.340160446,0.026988236
Lin52,-0.369127432,0.027011127
Cox7b,0.22194242,0.027021999
Tmpo,-0.269011456,0.027062122
Sap30l,-0.263927179,0.027068282
Fam110a,0.22013542,0.027103446
Nfatc2ip,-0.327644343,0.027179221
Tbpl1,0.186698735,0.027210099
Mettl26,-0.295873338,0.027251733
AABR07044080.2,-0.212711648,0.027258856
Mrpl54,0.20428214,0.027262135
Rtl6,-0.139443411,0.027269147
Echdc1,-0.252292736,0.027280208
Cacfd1,0.212790861,0.027349322
Zscan25,0.228585931,0.027430692
LOC103690006,0.392694933,0.027435675
Bnip3l,0.233072674,0.027448218
Nasp,0.175296141,0.027485937
Tdrd3,0.164368452,0.027485937
Prokr2,-0.595650228,0.027485937
Fkbp7,0.850934844,0.027495103
St6galnac3,-0.242177493,0.027501918
Atf6,0.228233083,0.027527912
Nectin1,0.186752249,0.027569895
Elovl6,-0.166787113,0.027572854
Cltb,0.17052014,0.027634034
Erh,0.178602491,0.027634034
Ice2,-0.491090382,0.027647953
Lmo4,0.23499461,0.027719223
Fam189a1,-0.365177058,0.027823075
Tmem14a,-1.013432957,0.027830327
AABR07002774.1,0.332648154,0.027839693
Shc4,0.440615201,0.027845045
Rsl1,0.716992387,0.02787728
Spsb4,-0.221381825,0.027897714
Ap1ar,-0.138069515,0.028172882
Zscan26,-0.264989572,0.028172882
Sft2d3,-0.318207798,0.028246425
Snai1,0.756832723,0.028246425
Wdr27,0.501862193,0.028257458
Sfi1,-0.236497371,0.028257458
Nme1,0.105350307,0.028356783
AABR07052085.1,0.671360511,0.028426225
2-Mar,-0.292464128,0.028536062
Them4,-0.204864604,0.028545848
Nop14,0.162844493,0.028630901
Hps4,0.271346969,0.028643851
Trpm2,-0.252084969,0.028669984
Meis3,-0.185304153,0.028685243
Cul9,-0.163824808,0.028707954
Nudc,-0.124007774,0.028774669
Mtif3,-0.244672725,0.028847544
Tmem104,0.249631214,0.028885922
Pdzd2,-0.297569608,0.028947089
Zfpm2,0.290370203,0.029051546
AABR07004507.1,0.67350739,0.029083337
LOC103689940,0.768226509,0.029197045
Snrnp40,0.167933546,0.029200524
Eri2,-0.368393708,0.029244104
Tonsl,-0.354805568,0.029280049
Gng10,0.214342515,0.02928693
Aip,-0.183295341,0.029320226
AABR07052486.1,-0.572009881,0.029361447
Mphosph9,0.2298065,0.029408221
Josd2,0.301295016,0.029413724
LOC100911224,0.195131841,0.029419625
Pak1,0.176198853,0.029507598
Usp21,-0.207269496,0.029507598
Mccc2,-0.172981732,0.029510057
C1qtnf4,-0.182513333,0.029545368
Erbin,0.412420288,0.029567057
Snrnp200,-0.072586241,0.029580069
Tfip11,0.21092689,0.029582036
Rab3ip,0.153541896,0.029644247
Ncam2,0.277667223,0.02979442
Abcc4,-0.402200243,0.029842145
Arl16,-0.171545313,0.029887338
Ankrd29,-0.603541981,0.029921632
Tfam,-0.213982439,0.029938921
Ormdl2,-0.251948615,0.029995509
Pde5a,0.398590726,0.030002583
Abcf2,0.112805343,0.0300186
Ulk2,-0.12001794,0.030033707
Abcg1,-0.295066343,0.03003568
Vstm2a,-0.366126056,0.030115944
Atad5,-0.274757525,0.030115944
Zfp503,0.29476018,0.030151331
Tbc1d4,0.505116779,0.030243248
Prss23,0.443297506,0.03024359
LOC100911727,0.206739377,0.030264479
Chmp5,0.144392358,0.030373506
Nat10,-0.172301822,0.030400059
AABR07033882.1,0.222335258,0.030440268
Mcrip1,-0.206562529,0.030449905
Col20a1,0.452594943,0.030468035
Rnf152,0.207362926,0.030472355
Synpo2l,-0.692352194,0.030478728
Ubp1,0.141690429,0.030505716
Acot4,-0.436877178,0.03053228
Akap8,0.146098694,0.030537812
Vdac2,-0.162108579,0.030567596
Snx8,-0.259077743,0.030575268
Vwc2,0.573505222,0.030625266
Rtel1,0.239995938,0.030640042
Brd9,-0.143582329,0.030711573
Ctsb,0.098409125,0.030802809
Uba1,0.088724548,0.030837706
Antkmt,0.190006674,0.030837706
Ccdc43,-0.174455686,0.030960018
Csf1r,0.563311784,0.031006075
Far1,0.217929233,0.031006075
Hsd17b11,-0.439517806,0.031015284
LOC100911485,-0.116977992,0.031020387
Ankrd44,0.291053425,0.031078406
Ube2d3,0.186753903,0.031081227
Scara3,-0.389730281,0.03113421
Dhx8,-0.116321925,0.031309524
Npnt,0.246975239,0.031321441
AABR07069301.1,0.576811526,0.03144229
AABR07037419.1,0.513974781,0.03148768
AABR07036007.1,0.272667117,0.03150991
Leng9,-0.403834714,0.031655998
Myh6,-0.531373996,0.031715637
LOC500584,0.433930209,0.031717681
AABR07050423.1,0.599301832,0.031753534
Arhgap20,0.105286264,0.031755869
Mrps31,-0.270914561,0.031832237
Strbp,0.189818165,0.031882256
Aasdhppt,-0.226267744,0.031940941
Cdh10,-0.218951737,0.032005914
Gabrg1,0.575284408,0.032061649
AC127920.1,0.344085067,0.032075956
Slc26a4,0.654572558,0.032100693
Mon2,0.132461433,0.032181694
Psmd5,0.168849805,0.032320783
Zfp266,0.172214468,0.032423559
LOC100359687,-0.360228976,0.032587643
Frzb,0.79795382,0.032607352
Zmiz2,-0.13426882,0.032615262
Bub1,0.497649809,0.032660228
LOC103689971,-0.166874056,0.032695368
Mrpl21,-0.234033014,0.032748874
Tmem170a,0.505274915,0.032824473
Mrps33,0.20334081,0.032908942
Exd2,0.138813406,0.032927116
Gba,-0.174245734,0.03293384
AABR07016865.1,0.397653404,0.032999417
Ncbp2,0.183029119,0.033016796
Tbc1d5,-0.178386173,0.033017095
Rbm17,-0.125884961,0.033029692
Suclg2,-0.631138378,0.033047349
Chst11,-0.189880178,0.033048777
Ncoa1,-0.121232763,0.033077652
LOC100912596,-0.467896614,0.033080782
Phykpl,0.291905343,0.033082305
Rassf2,0.230705755,0.033091211
Tmem151b,0.208372881,0.033118396
Hax1,0.224847686,0.033118396
Trpc7,-0.617417339,0.033157903
Crocc,-0.372868814,0.033275528
Cfap157,0.337113818,0.033308831
Slc16a7,-0.146081384,0.033343603
Catsperz,0.568989077,0.033458206
Rbms1,0.250207876,0.033458206
Cog2,-0.186525247,0.033601331
Rundc3a,0.137113161,0.033773203
Fbxw5,-0.137605751,0.033773203
Obi1,-0.211488924,0.033777375
Brcc3,-0.130187778,0.033861907
Septin11,0.113820804,0.033883129
Zfp597,0.235458229,0.033908625
Ust,0.400214545,0.033923433
Alkal2,1.057663004,0.034100448
Hspd1,-0.129157739,0.034151198
Flna,0.426823466,0.034164977
Car10,0.511431124,0.034168836
RT1-A1,-0.431424814,0.034221766
Cyb5d2,-0.460984083,0.034242092
Atrx,0.20865336,0.034314571
AABR07065531.14,0.762284806,0.034336473
Arl14ep,0.199206006,0.034463853
Pfn1,0.160260509,0.0344649
Ptov1,0.127192199,0.034550513
AABR07014239.1,0.178105575,0.034550513
AABR07037410.1,0.133440319,0.034587149
Syt2,-0.30880557,0.034649235
AABR07034669.1,-0.210194586,0.034663618
AABR07049329.1,0.320582599,0.035026653
Exosc6,-0.226172725,0.035101986
Cyp11b3,-0.896624743,0.035104553
Extl3,-0.145611211,0.035135831
Esco1,-0.308517252,0.035157991
Rasal2,0.123748662,0.035359433
Hemk1,-0.315640275,0.035482038
Plekhb2,0.091620412,0.035784145
LOC100912604,-0.194493201,0.035801677
AABR07022144.1,-0.402197808,0.035817084
Snx32,-0.189404732,0.035852224
Vac14,-0.117609888,0.035874312
Ccar1,-0.166359666,0.035874312
Dnaja4,0.147109542,0.035874656
Ppp2r2c,-0.154596488,0.035924602
Cenpb,-0.134678221,0.035954736
Tiam1,0.128313561,0.035964443
Wdr5b,-0.505380092,0.035984711
AABR07049516.1,0.207103094,0.036115184
Ccdc134,-0.537911189,0.036187305
Ugp2,-0.226700827,0.036238995
Esrra,-0.30382235,0.036258644
Pros1,0.651737698,0.036380659
Tppp,-0.207642349,0.036394945
Slc7a7,-0.496335655,0.036436775
Hist1h2ah,0.326703038,0.036494176
Lmbrd2,0.211195687,0.036494176
Ralgapa2,0.212375923,0.036671479
Hmbs,-0.286207461,0.036673596
Sephs1,-0.152419371,0.036711891
Lrrfip1,-0.185303584,0.036836293
Bckdhb,-0.247380355,0.036865829
Atp23,-0.454709868,0.036938266
Rpp25,-0.359038677,0.036976375
Chfr,0.151067136,0.037165288
AABR07065531.32,1.079493823,0.037237451
Ccdc6,-0.134406151,0.037237451
Fkbp10,-0.298005801,0.037353729
mrpl9,0.155331886,0.037458754
Arhgap10,0.290164327,0.037458754
Stim2,-0.156615829,0.037480158
Cops5,-0.110829987,0.037523655
LOC100359922,0.234732391,0.037570713
LOC103694902,0.201029182,0.037578503
Htra2,-0.137105845,0.037709883
Gpr180,-0.15226654,0.037710666
Dsel,0.270820558,0.037765661
Psme4,0.205430836,0.037776853
Tsfm,-0.254144274,0.037947483
Ugdh,0.17880791,0.037961199
Adnp,-0.114863639,0.038028317
Ppard,-0.339927873,0.038041061
NEWGENE_6497122,0.307961421,0.038070344
Lgi2,0.242723774,0.038092078
Actn2,0.213659612,0.038114006
Klhdc4,0.618893206,0.038158568
Mdm1,-0.344121164,0.038236919
Gsn,-0.401198352,0.038240592
Syndig1,0.217770734,0.038292254
AABR07042077.1,0.251561427,0.038361309
Setd3,-0.115691097,0.038399336
RGD1565472,0.285664573,0.038467034
AABR07059380.1,0.223750404,0.038504627
Romo1,0.313677332,0.038518364
Mon1b,-0.136017254,0.03866972
Irak4,-0.59556719,0.038687138
P3h3,0.3171553,0.038766299
AABR07025010.1,0.249174269,0.038847775
Zfp263,0.243410558,0.038879741
Mrps15,-0.151051188,0.038970751
Cln3,-0.367305252,0.039053526
RGD1308775,-0.444682917,0.039088094
Rnf123,0.100656941,0.039088717
Nfyc,-0.233739054,0.039267452
Prorp,-0.299989293,0.039292744
Tmem191c,0.284661601,0.039303424
Add1,-0.094607836,0.039326651
LOC108348098,-0.14071531,0.039400253
Nars2,-0.282710007,0.039428398
Gatad1,-0.239097721,0.039475754
AABR07069454.1,-0.531119533,0.039548749
Pkia,0.160613348,0.03957786
Dph2,0.223472735,0.039601351
LOC103692570,0.152511224,0.039685118
Pcdhga6,0.246810161,0.039782947
Esyt3,-0.276590013,0.039827944
Pcdhga2,0.176065323,0.039827977
AABR07027545.1,0.407991812,0.039832174
Crls1,-0.175256464,0.039848392
Stt3b,0.100191999,0.039892248
Tomm7,0.137651787,0.039939058
Tmem59,-0.12318783,0.040012172
Camsap1,-0.073756539,0.040038397
Parp14,-0.77774052,0.04015284
Plekhb1,0.722970973,0.04016691
Thoc3,-0.136861007,0.040357073
Jak3,0.392032742,0.040519504
Kcnn3,0.288431832,0.040528444
Zc3h12b,0.264300136,0.04062373
AABR07050701.1,0.386982078,0.040775043
Wdr33,-0.11166807,0.04081802
Mapk8ip3,0.109065202,0.04087885
Samd14,-0.16276567,0.040898813
Snx27,-0.139103485,0.040984924
Mtdh,0.126176141,0.04099894
Hexb,-0.249208638,0.041003184
Coro2a,-0.174330885,0.041182794
Prdx5,0.158921778,0.041182794
Exog,-0.179045434,0.041234431
Cc2d1a,-0.122531501,0.041296732
Igsf3,0.202222881,0.041431336
Mrpl22,0.233970921,0.041448554
Scaper,-0.233156822,0.041452368
Clpx,-0.176398951,0.04146321
Dad1,0.175737639,0.041518518
AC109037.1,0.46281716,0.04160701
Itga7,-0.621546385,0.041725982
AABR07053185.1,-0.53687555,0.04180723
Rint1,0.167660516,0.041881534
AC118490.1,0.289693742,0.041908912
Spata2,0.120422281,0.041946177
Phf24,-0.161822607,0.042290033
Fam155b,-0.194671624,0.042312007
Gpx7,-0.393366889,0.042334843
Fam171b,0.137553585,0.042362212
Qtrt1,-0.250831238,0.042459956
Nbas,0.099364757,0.042651389
Ppp6c,0.178133465,0.042651389
Wdr59,-0.241776076,0.042651389
Opcml,0.195301986,0.042671496
Sema3a,0.304315791,0.042726053
Abhd3,-0.358909038,0.042831378
Mipep,-0.21186573,0.042964498
Tcerg1,0.123198559,0.043060136
Cnrip1,0.142141917,0.043235472
Lmnb2,0.193961401,0.043353344
Lrfn5,-0.207623932,0.04339488
Coq3,-0.196058689,0.04340782
Npepps,0.142720722,0.043450405
Kctd15,-0.153522318,0.043466662
Kcnh3,-0.385776369,0.043540724
Ndufa8,-0.120741005,0.043570094
LOC100911186,-0.274588126,0.043580608
Gpbp1l1,0.216680085,0.043632629
Exosc5,-0.255993477,0.043696334
Ptger3,-0.390367695,0.043719243
Fastkd1,-0.235283871,0.043878084
Gstp1,0.155265492,0.043890819
Zfp92,-0.639807181,0.043896561
Slc25a28,0.164001466,0.043921262
Zbtb47,-0.191542977,0.043948761
LOC102548695,-0.166035009,0.044053883
Mcee,-0.516159135,0.044078408
Carns1,-0.541842443,0.044085967
Psma2,-0.121246391,0.044106478
Septin8,0.240014605,0.044271142
Dusp28,-0.41033709,0.044374032
Rab5c,0.10505508,0.044480593
Adra1a,0.699495141,0.044594021
Rarg,-0.361430897,0.044617123
Pcdhb5,-0.183514487,0.044623787
Rnf139,0.208627497,0.044640938
Fto,-0.084597695,0.044705338
AABR07072266.1,-0.218045202,0.044916045
Bysl,-0.196798307,0.04494049
Cnep1r1,-0.22486102,0.045061927
LOC103690064,-0.297198049,0.045061927
Rnf128,0.33966325,0.045097129
Serinc2,-0.355893898,0.045112669
AABR07068327.3,0.50697861,0.045119168
Qsox1,-0.153815377,0.045211918
LOC682793,0.39481444,0.045250873
AABR07028027.1,0.18299359,0.04533005
Zfp692,0.318411456,0.045439306
Bpnt1,0.114668227,0.045473204
Ssr3,0.177843537,0.04547849
Cib1,0.526029976,0.04551046
Pask,0.354291624,0.045591114
Clic1,-0.628670354,0.045623315
Pnpla3,-0.167607248,0.045780297
LOC108348197,0.206662033,0.045799877
Npc1,-0.170924106,0.045842293
Rps18l1,0.257891237,0.045851781
Snrk,-0.096019012,0.04594143
Vwc2l,-0.514632903,0.045994058
Cercam,0.570820328,0.04602494
Trim11,-0.189404623,0.046047898
Flnc,-0.613372594,0.046094849
Gmps,-0.182442901,0.046251603
Tube1,0.33670575,0.046273879
Metap1,0.111115525,0.046310533
LOC103693776,-0.126026063,0.046311397
LOC691427,0.254863099,0.046321316
Prmt6,0.164685523,0.04634121
Chdh,-0.472851768,0.04634954
Rpa3,-0.632606114,0.046349643
Kcp,0.736402084,0.046349658
Rnf167,-0.13283137,0.046511061
Mrpl12,-0.135293985,0.046547721
Ndufaf8,0.23306589,0.046580231
AABR07065113.1,0.467520898,0.046582115
Slc25a20,-0.163846724,0.046617224
Wdsub1,-0.346747814,0.046657645
Sh3gl3,0.238457599,0.04683301
Dffb,0.243637328,0.04683301
Rbm12b,-0.235766048,0.04697488
AABR07071966.1,0.793012985,0.04714887
LOC100361898,-0.312663084,0.047172684
LOC100912538,-0.199802373,0.047300702
AABR07043288.1,-0.238046212,0.047363772
Sncb,0.122741477,0.047368702
Arsb,0.148767855,0.047368702
Ssc4d,-0.486564782,0.047430604
Rnf103,-0.117468148,0.04749998
AABR07029417.1,-0.3443994,0.047537407
Klhl34,-0.183945011,0.047701615
Prrg1,0.676913307,0.047708619
Qser1,-0.179652697,0.047722872
Psmb6,-0.104417088,0.047722872
AABR07071195.2,0.52787904,0.047726689
Dxo,0.260139599,0.047904234
Hip1,-0.117727283,0.047934787
Lrpap1,0.091799709,0.048017782
AABR07021955.1,0.193891258,0.048025961
AABR07039307.1,0.551268082,0.048099127
Mrps16,-0.183506208,0.048176723
Tspoap1,0.123796775,0.048219724
Ddx51,-0.215433099,0.048265509
Sympk,-0.172761744,0.048265509
AABR07044570.1,-0.372165117,0.048354403
Rgs7,0.165273938,0.048354403
Gstz1,0.231646222,0.04836274
Tyw3,-0.554386903,0.048456963
Ccdc170,-0.714029132,0.04859712
Terc,0.59211038,0.048633465
Mrpl13,-0.243010237,0.048689807
AABR07065531.18,0.535774896,0.048924471
Ddx25,-0.195562119,0.049088434
AABR07001519.1,0.349374986,0.049088434
Lrch2,-0.181556471,0.04908898
Bicdl1,0.161579112,0.049225421
LOC102554315,0.35465487,0.04924387
Dclk2,0.135825875,0.04924829
Mmp14,0.450710754,0.04927876
Utp23,-0.376279946,0.04932511
AABR07063425.1,0.419337014,0.049397566
Brd1,-0.124684284,0.049524592
Dhfr,-0.345105019,0.049552808
Tmeff2,0.241610916,0.049691942
Ndufab1,0.129204123,0.049731225
Eno3,0.410751221,0.049755989
Sgcd,-0.622990638,0.049787338
Tm9sf3,0.143053311,0.049896747
Sh2b3,-0.223430932,0.049905739
Jmjd4,-0.241999644,0.049905951
Mrpl20,-0.184955326,0.04994076
Ttc1,0.142868547,0.04994076
Neil1,-0.454550258,0.050013314
Pknox1,-0.204671204,0.050026931
Gdf11,-0.11558408,0.05009859
Mapk1ip1,-0.263975765,0.050266647
Gin1,-0.417542267,0.050322142
LOC688442,0.306370887,0.050401908
Gpr137b,0.327969238,0.050525114
Nos1,0.123548924,0.050580176
Pigu,-0.163296201,0.050700014
Ntn4,-0.477057559,0.050703608
Smad5,-0.185580458,0.050725275
Erap1,0.297802535,0.050736391
Triqk,-0.320094019,0.050905203
Plekha4,-0.383319535,0.050940978
Srm,-0.185466063,0.051018657
Elk4,-0.150085969,0.05101978
Ribc1,-0.505235936,0.051117288
Wdr83,-0.175966721,0.05115012
Smad3,-0.366025784,0.051214146
Set,0.143992615,0.05134859
Arfip2,-0.123500056,0.051363718
AABR07001926.3,-0.454890408,0.051379308
Mterf3,-0.339042278,0.05143654
AC106605.1,-0.622769992,0.051451615
Cwc22,-0.176545962,0.05185344
RGD1560883,0.252479739,0.051858213
Pip5k1b,0.474444837,0.051904901
LOC103693999,0.166594653,0.051923428
